recipe_id,line_no,raw_line,qty,unit,name_raw,state,dry_fresh,parse_status
81,6,10 Curry leaves,10,,Curry leaves,,,auto
81,7,1 Onion - roughly chopped,1,,Onion,roughly chopped,,auto
81,8,1 inch Ginger - grated,1,inch,Ginger,grated,,reviewed
81,9,6 to 7 cloves Garlic - finely chopped,6.5,clove,Garlic,finely chopped,,reviewed
81,10,Salt - as per taste,nan,,Salt,,,reviewed
81,11,40 grams Instant Oats (Oatmeal) - Masala one,40,gram,Instant Oats (Oatmeal),masala,,reviewed
81,12,1 tablespoon Whole Black Peppercorns,1,tablespoon,Whole Black Peppercorns,,,auto
81,13,1 teaspoon Coriander (Dhania) Seeds,1,teaspoon,Coriander (Dhania) Seeds,,,auto
81,14,1 inch Cinnamon Stick (Dalchini),1,inch,Cinnamon Stick (Dalchini),,,reviewed
81,15,1 teaspoon Fennel seeds (Saunf),1,teaspoon,Fennel seeds (Saunf),,,auto
81,16,2 Dry Red Chillies,2,,Dry Red Chillies,,Dry,auto
82,1,250 grams Baby Potatoes - halved,250,gram,Baby Potatoes,halved,,auto
82,2,1/2 cup Pearl onions (Sambar Onions),1/2,cup,Pearl onions (Sambar Onions),,,auto
82,3,1 Tomato - finely chopped,1,,Tomato,finely chopped,,auto
82,4,5 Green Chillies - slit,5,,Green Chillies,slit,,auto
82,5,1 inch Ginger - chopped,1,inch,Ginger,chopped,,reviewed
82,6,5 cloves Garlic - chopped,5,clove,Garlic,chopped,,auto
82,7,2 teaspoon Coriander Powder (Dhania),2,teaspoon,Coriander Powder (Dhania),,,auto
82,8,2 tablespoon Red Chilli powder,2,tablespoon,Red Chilli powder,,,auto
82,9,1/2 teaspoon Turmeric powder (Haldi),1/2,teaspoon,Turmeric powder (Haldi),,,auto
82,10,1/2 teaspoon Garam masala powder,1/2,teaspoon,Garam masala powder,,,auto
82,11,2 sprig Curry leaves,2,sprig,Curry leaves,,,auto
82,12,1 cup Pearl onions (Sambar Onions),1,cup,Pearl onions (Sambar Onions),,,auto
82,13,1 cup Fresh coconut - grated,1,cup,Fresh coconut,grated,Fresh,auto
82,14,1/2 teaspoon Cumin seeds (Jeera),1/2,teaspoon,Cumin seeds (Jeera),,,auto
