norm_key,n_lines,bucket,n_codes,ifct_code,ifct_name
brinjal,1,multiple,22,D022,Brinjal 13
brinjal,1,multiple,22,D023,Brinjal 14
brinjal,1,multiple,22,D024,Brinjal 15
brinjal,1,multiple,22,D025,Brinjal 16
brinjal,1,multiple,22,D026,Brinjal 17
brinjal,1,multiple,22,D027,Brinjal 18
brinjal,1,multiple,22,D028,Brinjal 19
brinjal,1,multiple,22,D029,Brinjal 20
brinjal,1,multiple,22,D030,Brinjal 21
brinjal,1,multiple,22,D031,Brinjal - all varieties
cardamom powder,1,no_hit,0,,
cast curry leaves,1,no_hit,0,,
coriander,1,no_hit,0,,
coriander leaves,1,unique,1,G009,Coriander leaves
cumin powder,1,no_hit,0,,
curd,1,no_hit,0,,
egg,1,no_hit,0,,
fenugreek seed,1,unique,1,G026,Fenugreek seeds
ginger powder,1,no_hit,0,,
green coriander,1,no_hit,0,,
green pea,1,no_hit,0,,
hot masala powder,1,no_hit,0,,
luke warm water,1,no_hit,0,,
nugget curry leaves,1,no_hit,0,,
olive oil,1,no_hit,0,,
peel,1,no_hit,0,,
pepper powder,1,no_hit,0,,
red chilli flax,1,no_hit,0,,
small onion sambar,1,no_hit,0,,
small onion sambar one,1,no_hit,0,,
small potato,1,no_hit,0,,
tighten it,1,no_hit,0,,
tulsi,1,no_hit,0,,
turmeric,1,no_hit,0,,
white urad dal,1,no_hit,0,,
whole black pepper,1,no_hit,0,,
whole pepper,1,no_hit,0,,
