recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,corrected_name,corrected_qty,corrected_unit,corrected_state
80,4,1 inch Ginger - minced,qty;unit,Ginger,Ginger,1,,inch,,minced,minced,,,Ginger,1,inch,
80,8,2 teaspoon Chicken masala - (you can use other too but I prefer eastern masalas for kerala style preparations),state,Chicken masala,Chicken masala,2,2,teaspoon,teaspoon,(you can use other too but I prefer eastern masalas for kerala style preparations),,(you cans use other too but I prefer eastern masalas for kerala style preparations),,Chicken masala,2,teaspoon,
80,10,2 Cloves (Laung),name;unit,(Laung),Cloves,2,2,Cloves,,,,(Laung),,Cloves (Laung),2,,cloves
80,11,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,Cinnamon Stick (Dalchini),1,inch,
80,12,Curry leaves - Handful,state,Curry leaves,Curry leaves,,,,,Handful,,Handfuls,,Curry leaves,1,handful,
81,8,1 inch Ginger - grated,qty;unit,Ginger,Ginger,1,,inch,,grated,grated,,,Ginger,1,inch,
81,9,6 to 7 cloves Garlic - finely chopped,qty,Garlic,Garlic,6to7,6,cloves,clove,finely chopped,finely chopped,,,Garlic,6.5,cloves,
81,10,Salt - as per taste,state,Salt,Salt,,,,,as per taste,,as per taste,,Salt,,,
81,11,40 grams Instant Oats (Oatmeal) - Masala one,state,Instant Oats (Oatmeal),Instant Oats (Oatmeal),40,40,grams,gram,Masala one,,Masala,,Instant Oats (Oatmeal),40,grams,masala
81,14,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,Cinnamon Stick (Dalchini),1,inch,
82,5,1 inch Ginger - chopped,qty;unit,Ginger,Ginger,1,,inch,,chopped,chopped,,,Ginger,1,inch,
82,16,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,Coconut Oil,,,
82,17,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
83,5,1-1/2 teaspoons Mustard seeds,qty,Mustard seeds,Mustard seeds,1-1/2,1/2,teaspoons,teaspoon,,,,,Mustard seeds,1 1/2,teaspoons,
83,12,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
84,4,salt - as per taste,state,salt,salt,,,,,as per taste,,as per taste,,salt,,,
84,5,1 tablespoon olive oil - as per use,state,olive oil,olive oil,1,1,tablespoon,tablespoon,as per use,,as per use,,olive oil,1,tablespoon,
85,4,5 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,5,5,,Pods,,,,,Cardamom (Elaichi) Pods/Seeds,5,,
85,7,Ghee - as required,state,Ghee,Ghee,,,,,as required,,as required,,Ghee,,,
86,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
86,10,1-1/2 cups Fresh coconut - grated,qty,Fresh coconut,Fresh coconut,1-1/2,1/2,cups,cup,grated,grated,,,Fresh coconut,1 1/2,cups,
86,15,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
87,6,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
87,9,1/2 cup Fresh coconut - pieces,qty;unit;state,Fresh coconut,Fresh coconut,1/2,1,cup,piece,pieces,,,,Fresh coconut, 1/2,cup,pieces
88,4,1 cup Coconut milk - thick (1st extract),state,Coconut milk,Coconut milk,1,1,cup,cup,thick (1st extract),,thick (1st extract),,Coconut milk,1,cup,thick (1st extract)
88,5,1-1/2 cups Coconut milk - (2nd & 3rd extract),qty;state,Coconut milk,Coconut milk,1-1/2,1/2,cups,cup,(2nd & 3rd extract),,(2nd & 3rd extract),,Coconut milk,1 1/2,cups,2nd & 3rd extract
88,8,2 teaspoons Fresh coconut - slices,qty;unit;state,Fresh coconut,Fresh coconut,2,1,teaspoons,slice,slices,,,,Fresh coconut,2,teaspoons,slices
88,10,Ghee - as required,state,Ghee,Ghee,,,,,as required,,as required,,Ghee,,,
89,1,300 grams Banana Stem - peeled and cut into dices,name,Banana Stem,Banana Stems,300,300,grams,gram,peeled and cut into dices,peeled and cut into dices,,,Banana Stem,300,grams,
89,5,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
90,6,2 Cardamom (Elaichi) Pods/Seeds - powdered,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,2,2,,Pods,powdered,powdered,,,Cardamom (Elaichi) Pods/Seeds,2,,pods/seeds
91,4,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
91,7,1 inch Ginger - grated,qty;unit,Ginger,Ginger,1,,inch,,grated,grated,,,Ginger,1,inch,
92,4,1 inch Ginger - chopped,qty;unit,Ginger,Ginger,1,,inch,,chopped,chopped,,,Ginger,1,inch,
92,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
92,10,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,Coconut Oil,,,
93,1,1 cup Cauliflower (gobi) - florets,name;state,Cauliflower (gobi),Cauliflower (gobi); florets,1,1,cup,cup,florets,,,,Cauliflower (gobi),1,cup,florets
