recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,corrected_name,corrected_qty,corrected_unit,corrected_state
117,20,3 Cloves (Laung),name;unit,(Laung),Cloves,3,3,Cloves,,,,(Laung),,Cloves (Laung),3,,cloves
118,5,4-5 Black pepper powder,qty,Black pepper powder,Black pepper powder,4-5,4,,,,,,,Black pepper powder,4.5,tsp,fixed from original recipe
118,7,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
119,6,2 inch Ginger,qty;unit,Ginger,Ginger,2,,inch,,,,,,Ginger,2,inch,
119,10,1 teaspoon Coconut Oil - adjustable,state,Coconut Oil,Coconut Oil,1,1,teaspoon,teaspoon,adjustable,,adjustable,,Coconut Oil,1,teaspoon,
119,13,2 Kokum (Malabar Tamarind) - for the curry,state,Kokum (Malabar Tamarind),Kokum (Malabar Tamarind),2,2,,,for the curry,,,for the curry,Kokum (Malabar Tamarind),2,,
119,14,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
120,3,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
120,5,3 Green Chillies - (adjust),name;state,Green Chillies,Green Chillies - (adjust),3,3,,,(adjust),,,,Green Chillies,3,,
121,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
122,5,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
123,5,1 Onions - red,state,Onions,Onions,1,1,,,red,,red,,Onions,1,,red
123,7,1/2 inch Ginger - peeled and grated (optional),qty;unit,Ginger,Ginger,1/2,,inch,,peeled and grated (optional),peeled and grated,(optional),,Ginger, 1/2,inch,
123,8,1/2 cup Coconut milk - thin,state,Coconut milk,Coconut milk,1/2,1/2,cup,cup,thin,,thin,,Coconut milk, 1/2,cup,thin
123,9,3/4 cup Coconut milk - thick,state,Coconut milk,Coconut milk,3/4,3/4,cup,cup,thick,,,,Coconut milk, 3/4,cup,thick
123,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,Salt,,,
123,11,1/2 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1/2,,inch,,,,,,Cinnamon Stick (Dalchini), 1/2,inch,
123,12,1 Bay leaf (tej patta),name,Bay leaf (tej patta),Bay leaves (tej patta),1,1,,,,,,,Bay leaf (tej patta),1,sprig,
123,13,10 to 12 Whole Black Peppercorns,qty,Whole Black Peppercorns,Whole Black Peppercorns,10to12,10,,,,,,,Whole Black Peppercorns,11,,
123,14,1 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,,Pod,,,,,Cardamom (Elaichi) Pods/Seeds,1,,pods/seeds
124,2,1-1/2 tablespoons Sunflower Oil,qty,Sunflower Oil,Sunflower Oil,1-1/2,1/2,tablespoons,tablespoon,,,,,Sunflower Oil,1 1/2,tablespoons,
124,4,Curry leaves - few sprigs,qty;unit;state,Curry leaves,Curry leaves,,few,,sprigs,few sprigs,,,,Curry leaves,,sprig,
124,6,1/2 inch Ginger - grated,qty;unit,Ginger,Ginger,1/2,,inch,,grated,grated,,,Ginger, 1/2,inch,
