recipe_id,line_no,raw_line,modifier_text,ip_state,ip_comment,ip_purpose,corrected_state,corrected_notes,note_to_self
104,5,1 raw banana - peel and chop straight,peel and chop straight,,peel and chop straight,,peel and chop straight,,
104,6,2 potatoes - peel and chop straight,peel and chop straight,,peel and chop straight,,peel and chop straight,,
104,7,250 grams Yam - peel and chop,peel and chop,,peel and chop,,Peel and chop,,
104,13,salt - as per taste,as per taste,,as per taste,,,to taste,
105,4,Salt - to taste,to taste,,to taste,,,to taste,
106,13,2 teaspoon Fresh coconut - (1/2 inch size),(1/2 inch size),,,,,1/2 inch,size
108,10,Salt - to taste,to taste,,to taste,,,to taste,
109,3,Salt - (if required),(if required),,(if required),,,if required,
110,3,10 Shallots - or 1 large onion,or 1 large onion,,or 1 large onion,,,or 1 large onion,sun
110,5,1 teaspoon Red Chilli flakes - adjust as per spice tolerance,adjust as per spice tolerance,,adjust as per spice tolerance,,,adjust as per spice tolerance,
110,6,Salt - as per taste,as per taste,,as per taste,,,as per taste,
110,8,Coconut Oil - enough to shallow fry,enough to shallow fry,,enough to shallow fry,,,enough to shallow fry,
110,9,2 tablespoons Fresh coconut - pieces,pieces,,,,pieces,,
111,1,1 cup Rice puttu - or wheat puttu,or wheat puttu,,,,,or wheat puttu,sub
111,10,Salt - to taste,to taste,,to taste,,,to taste,
112,9,Salt - to taste,to taste,,to taste,,,to taste,
113,6,3 Garlic - cloves,cloves,,,,,,
114,2,1 cup Cashew nuts - unsalted,unsalted,,,,,unsalted cashews,
114,3,1 cup Jaggery - powdered or brown sugar,powdered or brown sugar,,,,,or brown sugar,sub
115,15,Coconut Oil - for cooking,for cooking,,,for cooking,,For cooking,
115,16,Salt - to taste,to taste,,to taste,,,to taste,
116,4,Salt - to taste,to taste,,to taste,,,to taste,
116,6,1 cup Curd (Dahi / Yogurt) - thick and sour,thick and sour,,"Dahi, thick and sour",,thick and sour,,
117,10,Salt - to taste,to taste,,to taste,,,to taste,
118,7,Salt - to taste,to taste,,to taste,,,to taste,
119,10,1 teaspoon Coconut Oil - adjustable,adjustable,,adjustable,,,adjustable,
119,13,2 Kokum (Malabar Tamarind) - for the curry,for the curry,,,for the curry,,for the curry,
119,14,Salt - to taste,to taste,,to taste,,,to taste,
120,3,Salt - to taste,to taste,,to taste,,,to taste,
120,5,3 Green Chillies - (adjust),(adjust),,,,,adjustable,
121,10,Salt - to taste,to taste,,to taste,,,to taste,
