recipe_id,line_no,raw_line,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,flag_name_disagree,flag_qty_disagree,flag_unit_disagree,corrected_name,corrected_qty,corrected_unit
133,24,6 - 8 Cashew nuts - soaked in 2 tablespoons water,Cashew nuts,Cashew nuts,8-Jun,6,,,FALSE,TRUE,FALSE,Cashew Nuts,6-8,
133,26,Sunflower Oil - vegetable oil,Sunflower Oil,Sunflower Oil - vegetable oil,,,,,TRUE,FALSE,FALSE,Sunflower Oil,,
133,28,1 Cashew nuts - handful,Cashew nuts,Cashew nuts,1,1,,handful,FALSE,FALSE,TRUE,Cashew Nuts,1    ,handful
133,29,1 Raisins - handful,Raisins,Raisins,1,1,,handful,FALSE,FALSE,TRUE,Raisins,1    ,handful
135,9,1-1/2 cup Tamarind Water,Tamarind Water,Tamarind Water,1/1/2002,2-Jan,cup,cup,FALSE,TRUE,FALSE,Tamarind water,1 1/2,cup
136,8,1 inch Ginger - finely chopped,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
140,1,2 cups Drumstick Leaves (Moringa/Murungai Keerai) - or Murrungai Keerai,Drumstick Leaves (Moringa/Murungai Keerai),Drumstick Leaves Murungai Keerai; Murrungai Keerai,2,2,cups,cup,TRUE,FALSE,FALSE,Drumstick Leaves (Moringa/Murungai Keerai),2    ,cups
140,3,1 inch Ginger - chopped,Ginger,Ginger,1,,inch,,FALSE,TRUE,TRUE,Ginger,1    ,inch
141,5,1 teaspoon Ginger - paste,Ginger,Ginger - paste,1,1,teaspoon,teaspoon,TRUE,FALSE,FALSE,Ginger Paste,1    ,teaspoon
143,2,2-1/2 cups Water,Water,Water,2/1/2002,2-Jan,cups,cup,FALSE,TRUE,FALSE,Water,2 1/2,cups
143,3,8 Garlic - cloves,Garlic,Garlic,8,8,,cloves,FALSE,FALSE,TRUE,Galic,8    ,cloves
143,6,1-1/2 teaspoon Red Chilli powder,Red Chilli powder,Red Chilli powder,1/1/2002,2-Jan,teaspoon,teaspoon,FALSE,TRUE,FALSE,red chili powder,1 1/2,teaspoon
145,1,1.5 cups Red Black Eyed Beans (Azuki),.5 cups Red Black Eyed Beans (Azuki),.5 cups Red Black Eyed Beans (Azuki),1,2-Mar,,cup,FALSE,TRUE,TRUE,Red black Eyed Beans (Azuki),1 1/2,cups
145,6,Coriander (Dhania) Leaves - few sprigs,Coriander (Dhania) Leaves,Coriander (Dhania) Leaves,,few,,sprigs,FALSE,TRUE,TRUE,Coriander (Dhania) Leaves,,sprigs
