name_raw,n_occurrences,sample_raw_lines,dry_fresh_seen,primary_key
Green Peas (Matar),2,1-1/2 Green peas (Matar); 2 to 3 tablespoons Green peas (Matar) - fresh or frozen,Fresh,green pea
Instant Oats (Oatmeal),2,40 grams Instant Oats (Oatmeal) - Masala one; 1 cup Instant Oats (Oatmeal),,instant oat
dry red chillies,2,3 dry red chillies - broken; 2 dry red chillies,Dry,dry red chilli
Butter (unsalted),2,5 tablespoons Butter (unsalted); 100 grams Butter (unsalted),,butter
rye,2,1/4 tsp rye; 1 tablespoon rye,,rye
Green peas (Matar),2,1/4 cup Green peas (Matar); 1/4 cup Green peas (Matar),,green pea
green beans,2,20 green beans - chop; 10 green beans - cut straight,,green bean
Active dry yeast,2,1 teaspoon Active dry yeast - soaked in luke warm water (2 tablespoon); 1 teaspoon Active dry yeast -  + 1/2 cup of luke warm water,Dry,active dry yeast
Cardamom (Elaichi) Pods/Seeds (powdered),2,2 Cardamom (Elaichi) Pods/Seeds - powdered; 2 Cardamom (Elaichi) Pods/Seeds - powdered,,cardamom elaichi pod seed
coriander powder,2,1/4 teaspoon coriander powder; 1/2 tablespoon coriander powder,,coriander powder
Kashmiri red chilli powder,2,1 teaspoon Kashmiri red chilli powder; 1/2 tablespoon Kashmiri red chilli powder,,kashmiri red chilli powder
arabic,1,250 gm arabic - wash now,,arabic
whole black pepper,1,1/4 tsp whole black pepper,,whole black pepper
2 tsp cumin seeds,1,1/2 2 tsp cumin seeds,,tsp cumin seed
Ada,1,1 cup Ada,,ada
Banana flower (Vazhaipoo),1,2 Banana flower (Vazhaipoo) - ripe,,banana flower
Asafoetida (hing) - a pinch,1,Asafoetida (hing) - a pinch,,asafoetida hing pinch
Rasam Powder,1,1/2 teaspoon Rasam Powder,,rasam powder
Aachi Fish Masala,1,2 teaspoons Aachi Fish Masala,,aachi fish masala
Sambar Powder,1,2 tablespoons Sambar Powder,,sambar powder
Coriander Powder (dhania),1,2-1/2 teaspoons Coriander Powder (Dhania),,coriander powder
Asafoetida (hing) - powder,1,1/4 teaspoon Asafoetida (hing) - powder,,asafoetida hing powder
Enos fruit salt,1,1/4 teaspoon Enos fruit salt - optional,,enos fruit salt
Gram flour (besan),1,1/4 cup Gram flour (besan),,gram flour
Mixed Vegetables - french beans,1,1 cup Mixed vegetables - (french beans,,mixed vegetable french bean
peel,1,peel,,peel
Raw Peanuts (Moongphali),1,1/4 cup Raw Peanuts (Moongphali),,raw peanut
Vanilla Extract,1,1 teaspoon Vanilla Extract,,vanilla extract
fennel powder,1,1/2 teaspoon fennel powder,,fennel powder
Shrimps,1,500 grams Shrimps - cleaned and deveined,,shrimp
Candied orange peel,1,3 tablespoons Candied orange peel,,candied orange peel
Caramel Sauce,1,1/4 cup Caramel Sauce,,caramel sauce
Dry Red Chili,1,2 to 3 Dry Red Chilli,Dry,dry red chili
Hot water,1,1/2 cup Hot water,,hot water
Vivatta Maida,1,1 cup Vivatta Maida,,vivatta maida
Mixed nuts - Almond,1,1-1/2 cups Mixed nuts - I used almond,,mixed nut almond
Colocasia root (Arbi),1,250 grams Colocasia root (Arbi) - washed thoroughly and peeled,,colocasia root
curd,1,1/4 cup curd,,curd
Extra Virgin Olive Oil,1,1 tablespoon Extra Virgin Olive Oil - to toss,,extra virgin olive oil
Paprika powder,1,1/2 tablespoon Paprika powder,,paprika powder
cumin powder,1,1 teaspoon cumin powder,,cumin powder
Caster Sugar,1,300 grams Caster Sugar,,caster sugar
Glazed Cherries,1,100 grams Glazed Cherries,,glazed cherry
Dried Figs,1,100 grams Dried Figs,Dried,dried fig
Guava juice,1,1 cup Guava juice - chilled,,guava juice
Palm sugar,1,1/4 cup Palm sugar,,palm sugar
Champagne,1,500 ml Champagne - or Sparkling wine,,champagne
Papaya juice,1,1 cup Papaya juice - chilled,,papaya juice
Kashmiri Red Chili Powder,1,1-1/2 teaspoons Kashmiri Red Chilli Powder,,kashmiri red chili powder
dry red chili,1,1 dry red chili - Break it,Dry,dry red chili
Mixed Dry Fruits - Apricot,1,1-1/2 cups Mixed dry fruits - I used apricot,Dry,mixed dry fruit apricot
Karela (Bitter Gourd/ Pavakkai),1,3 Karela (Bitter Gourd/ Pavakkai),,karela
Tulsi (holy basil),1,20 Tulsi (holy basil),,tulsi
Instant Coffee Powder,1,1 tablespoon Instant Coffee Powder,,instant coffee powder
hot Masala powder,1,3/4 teaspoon hot Masala powder,,hot masala powder
Sardine Fish - mati,1,500 grams Sardine fish - (mathi,,sardine fish mati
Black Eyed Beans (Lobia),1,1/2 cup Black Eyed Beans (Lobia),,black eyed bean
Mooli/Mullangi (Radish),1,2 Mooli/ Mullangi (Radish) - julienned and steamed,,mooli mullangi
Icing Sugar,1,1 cup Icing Sugar - powdered,,icing sugar
Coconut milk ,1,1 3/4 cup Coconut milk,,coconut milk
white urad dal,1,1 tsp white urad dal,,white urad dal
Curry leaf,1,1 sprig curry leaf,,curry leaf
green peas,1,1/2 cup green peas - optional,,green pea
Fish fillet,1,5 Fish fillet,,fish fillet
Papad,1,4 Papad,,papad
coconut milk,1,1/2 cup coconut milk - thick,,coconut milk
green coriander,1,2 tablespoons green coriander - finely chopped,,green coriander
Mutton ,1,500 grams Mutton - with bone (adds flavour),,mutton
olive oil,1,1 tablespoon olive oil - as per use,,olive oil
pepper powder,1,1/4 tablespoon pepper powder,,pepper powder
Banana Stem,1,300 grams Banana Stem - peeled and cut into dices,,banana stem
Rice ada,1,1 cup Rice ada,,rice ada
Bay leaves (tej patta),1,2 Bay leaves (tej patta),,bay leaves
Saffron strands,1,5 Saffron strands,,saffron strand
ginger powder,1,1 tbsp ginger powder,,ginger powder
instant coffee powder,1,1 tbsp instant coffee powder,,instant coffee powder
tulsi,1,20 tulsi,,tulsi
cardamom powder,1,1/2 tsp cardamom powder - more or less,,cardamom powder
Chicken masala,1,2 teaspoon Chicken masala - (you can use other too but I prefer eastern masalas for kerala style preparations),,chicken masala
Baby Potatoes,1,250 grams Baby Potatoes - halved,,baby potato
raw bananas,1,3 raw bananas - peeled and cut into thin,,raw banana
paprika powder,1,1/2 tablespoon paprika powder,,paprika powder
cast Curry leaves,1,1 cast Curry leaves,,cast curry leaves
ginger garlic paste,1,1 tablespoon ginger garlic paste,,ginger garlic paste
whole pepper,1,1 teaspoon whole pepper - ground,,whole pepper
small onion sambar ones,1,1 cup small onion sambar ones,,small onion sambar one
nuggets curry leaves,1,2 nuggets curry leaves,,nugget curry leaves
garam masala powder,1,1/2 teaspoon garam masala powder,,garam masala powder
coriander Powder,1,2 teaspoon coriander Powder,,coriander powder
small onion sambar,1,1/2 cup small onion sambar,,small onion sambar
red chilli flax,1,1 teaspoon red chilli flax,,red chilli flax
Chinese Potato,1,250 grams Chinese Potato - cut into medium size pieces,,chinese potato
Rice puttu,1,1 cup Rice puttu - or wheat puttu,,rice puttu
Red Chilli flakes,1,1 teaspoon Red Chilli flakes - adjust as per spice tolerance,,red chilli flake
Raw banana peel,1,2 Raw banana peel,,raw banana peel
Horse Gram Dal (Kollu/ Kulith),1,250 grams Horse Gram Dal (Kollu/ Kulith) - Sprouted,,horse gram dal
Sardine fish,1,500 grams Sardine fish,,sardine fish
Green Chawli Beans (Yard long beans/Karamani/Barbati),1,300 grams Green Chawli Beans (Yard long beans/Karamani/Barbati) - chopped,,green chawli bean
white urad dal (split),1,1 teaspoon white urad dal (split),,white urad dal
Jackfruit Seeds (Kathal),1,1 cup Jackfruit Seeds (Kathal) - cleaned and sliced,,jackfruit seed
tighten it,1,tighten it,,tighten it
