recipe_id,line_no,raw_line,review_flags,regex_name,ip_patched_name,regex_qty,ip_qty,regex_unit,ip_unit,modifier_text,ip_state,ip_comment,ip_purpose,verdict,corrected_name,corrected_qty,corrected_unit,corrected_state
101,8,Coconut oil - as per use,state,Coconut oil,Coconut oil,,,,,as per use,,as per use,,ok,,,,as per use
102,8,Sunflower Oil - as required,state,Sunflower Oil,Sunflower Oil,,,,,as required,,as required,,ok,,,,as required
102,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
102,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
103,8,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
104,5,1 raw banana - peel and chop straight,state,raw banana,raw banana,1,1,,,peel and chop straight,,peel and chop straight,,ok,,,,peel and chop straight
104,6,2 potatoes - peel and chop straight,state,potatoes,potatoes,2,2,,,peel and chop straight,,peel and chop straight,,ok,,,,peel and chop straight
104,7,250 grams Yam - peel and chop,state,Yam,Yam,250,250,grams,gram,peel and chop,,peel and chop,,ok,,,,peel and chop
104,8,1-1 / 2 cup coconut - grated,qty;unit,coconut,coconut,1-1/2,1,cup,,grated,grated,,,ok,,,,
104,13,salt - as per taste,state,salt,salt,,,,,as per taste,,as per taste,,ok,,,,as per taste
105,4,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
106,10,1 inch Ginger - thin slices,qty;unit,Ginger,Ginger,1,,inch,,thin slices,thin slices,,,ok,,,,
106,13,2 teaspoon Fresh coconut - (1/2 inch size),state,Fresh coconut,Fresh coconut,2,2,teaspoon,teaspoon,(1/2 inch size),,,,ok,,,,
108,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
109,2,3-1/2 cups Water,qty,Water,Water,3-1/2,1/2,cups,cup,,,,,ok,,,,
109,3,Salt - (if required),state,Salt,Salt,,,,,(if required),,(if required),,ok,,,,(if required)
110,3,10 Shallots - or 1 large onion,state,Shallots,Shallots,10,10,,,or 1 large onion,,or 1 large onion,,ok,,,,or 1 large onion
110,5,1 teaspoon Red Chilli flakes - adjust as per spice tolerance,state,Red Chilli flakes,Red Chilli flakes,1,1,teaspoon,teaspoon,adjust as per spice tolerance,,adjust as per spice tolerance,,ok,,,,adjust as per spice tolerance
110,6,Salt - as per taste,state,Salt,Salt,,,,,as per taste,,as per taste,,ok,,,,as per taste
110,8,Coconut Oil - enough to shallow fry,state,Coconut Oil,Coconut Oil,,,,,enough to shallow fry,,enough to shallow fry,,ok,,,,enough to shallow fry
110,9,2 tablespoons Fresh coconut - pieces,qty;unit;state,Fresh coconut,Fresh coconut,2,1,tablespoons,piece,pieces,,,,ok,,,,
111,1,1 cup Rice puttu - or wheat puttu,name;state,Rice puttu,Rice puttu; wheat puttu,1,1,cup,cup,or wheat puttu,,,,ok,,,,
111,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
112,1,250 grams Horse Gram Dal (Kollu/ Kulith) - Sprouted,name,Horse Gram Dal (Kollu/ Kulith),Horse Grams Dal Kulith,250,250,grams,gram,Sprouted,Sprouted,Kollu,,ok,,,,Kollu
112,5,1/2 inch Ginger,qty;unit,Ginger,Ginger,1/2,,inch,,,,,,ok,,,,
112,9,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
113,6,3 Garlic - cloves,unit;state,Garlic,Garlic,3,3,,cloves,cloves,,,,ok,,,,
114,2,1 cup Cashew nuts - unsalted,name;state,Cashew nuts,Cashew nuts - unsalted,1,1,cup,cup,unsalted,,,,ok,,,,
114,3,1 cup Jaggery - powdered or brown sugar,name;state,Jaggery,Jaggery; powdered brown sugar,1,1,cup,cup,powdered or brown sugar,,,,ok,,,,
115,15,Coconut Oil - for cooking,state,Coconut Oil,Coconut Oil,,,,,for cooking,,,for cooking,ok,,,,
115,16,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
116,4,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
116,6,1 cup Curd (Dahi / Yogurt) - thick and sour,state,Curd (Dahi / Yogurt),Curd (Dahi / Yogurt),1,1,cup,cup,thick and sour,,"Dahi, thick and sour",,ok,,,,"Dahi, thick and sour"
117,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
117,15,2 inch Ginger,qty;unit,Ginger,Ginger,2,,inch,,,,,,ok,,,,
117,18,1-1/2 teaspoon Whole Black Peppercorns,qty,Whole Black Peppercorns,Whole Black Peppercorns,1-1/2,1/2,teaspoon,teaspoon,,,,,ok,,,,
117,19,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,ok,,,,
117,20,3 Cloves (Laung),name;unit,(Laung),Cloves,3,3,Cloves,,,,(Laung),,ok,,,,(Laung)
118,5,4-5 Black pepper powder,qty,Black pepper powder,Black pepper powder,4-5,4,,,,,,,ok,,,,
118,7,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
119,6,2 inch Ginger,qty;unit,Ginger,Ginger,2,,inch,,,,,,ok,,,,
119,10,1 teaspoon Coconut Oil - adjustable,state,Coconut Oil,Coconut Oil,1,1,teaspoon,teaspoon,adjustable,,adjustable,,ok,,,,adjustable
119,13,2 Kokum (Malabar Tamarind) - for the curry,state,Kokum (Malabar Tamarind),Kokum (Malabar Tamarind),2,2,,,for the curry,,,for the curry,ok,,,,
119,14,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
120,3,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
120,5,3 Green Chillies - (adjust),name;state,Green Chillies,Green Chillies - (adjust),3,3,,,(adjust),,,,ok,,,,
121,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
122,5,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
123,5,1 Onions - red,state,Onions,Onions,1,1,,,red,,red,,ok,,,,red
123,7,1/2 inch Ginger - peeled and grated (optional),qty;unit,Ginger,Ginger,1/2,,inch,,peeled and grated (optional),peeled and grated,(optional),,ok,,,,(optional)
123,8,1/2 cup Coconut milk - thin,state,Coconut milk,Coconut milk,1/2,1/2,cup,cup,thin,,thin,,ok,,,,thin
123,9,3/4 cup Coconut milk - thick,state,Coconut milk,Coconut milk,3/4,3/4,cup,cup,thick,,,,ok,,,,
123,10,Salt - to taste,state,Salt,Salt,,,,,to taste,,to taste,,ok,,,,to taste
123,11,1/2 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1/2,,inch,,,,,,ok,,,,
123,12,1 Bay leaf (tej patta),name,Bay leaf (tej patta),Bay leaves (tej patta),1,1,,,,,,,ok,,,,
123,13,10 to 12 Whole Black Peppercorns,qty,Whole Black Peppercorns,Whole Black Peppercorns,10to12,10,,,,,,,ok,,,,
123,14,1 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,,Pod,,,,,ok,,,,
124,2,1-1/2 tablespoons Sunflower Oil,qty,Sunflower Oil,Sunflower Oil,1-1/2,1/2,tablespoons,tablespoon,,,,,ok,,,,
124,4,Curry leaves - few sprigs,qty;unit;state,Curry leaves,Curry leaves,,few,,sprigs,few sprigs,,,,ok,,,,
124,6,1/2 inch Ginger - grated,qty;unit,Ginger,Ginger,1/2,,inch,,grated,grated,,,ok,,,,
124,10,1 inch Cinnamon Stick (Dalchini),name;qty;unit,Cinnamon Stick (Dalchini),Cinnamon Sticks (Dalchini),1,,inch,,,,,,ok,,,,
124,11,1 Cardamom (Elaichi) Pods/Seeds,unit,Cardamom (Elaichi) Pods/Seeds,Cardamom (Elaichi) Pods/Seeds,1,1,,Pod,,,,,ok,,,,
124,12,3 Cloves (Laung),name;unit,(Laung),Cloves,3,3,Cloves,,,,(Laung),,ok,,,,(Laung)
